"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 19:14:21 GMT 2023","Thu Sep 07 19:14:21 GMT 2023","425","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Thu Sep 07 19:14:21 GMT 2023","Thu Sep 07 19:14:22 GMT 2023","214","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Thu Sep 07 19:14:34 GMT 2023","Thu Sep 07 19:14:34 GMT 2023","142","","Location","","","","cy.location() - get window.location",""
"passed","Thu Sep 07 19:14:34 GMT 2023","Thu Sep 07 19:14:34 GMT 2023","320","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Thu Sep 07 19:14:22 GMT 2023","Thu Sep 07 19:14:22 GMT 2023","219","","Cypress.env()","","","","Get environment variables",""
"passed","Thu Sep 07 19:13:56 GMT 2023","Thu Sep 07 19:13:56 GMT 2023","185","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Thu Sep 07 19:14:40 GMT 2023","Thu Sep 07 19:14:41 GMT 2023","457","","Misc","","","","cy.exec() - execute a system command",""
"passed","Thu Sep 07 19:14:06 GMT 2023","Thu Sep 07 19:14:06 GMT 2023","163","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Thu Sep 07 19:13:38 GMT 2023","Thu Sep 07 19:13:40 GMT 2023","2181","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Thu Sep 07 19:14:41 GMT 2023","Thu Sep 07 19:14:43 GMT 2023","1600","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Thu Sep 07 19:13:37 GMT 2023","Thu Sep 07 19:13:38 GMT 2023","222","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"failed","Thu Sep 07 19:13:09 GMT 2023","Thu Sep 07 19:13:16 GMT 2023","6655","","Тестирование формы","","","","Проверяем ховер на кнопке ""Назад",""
"passed","Thu Sep 07 19:13:55 GMT 2023","Thu Sep 07 19:13:56 GMT 2023","462","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Thu Sep 07 19:13:30 GMT 2023","Thu Sep 07 19:13:31 GMT 2023","545","","Actions","","","",".submit() - submit a form",""
"passed","Thu Sep 07 19:14:06 GMT 2023","Thu Sep 07 19:14:07 GMT 2023","178","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Thu Sep 07 19:14:13 GMT 2023","Thu Sep 07 19:14:14 GMT 2023","589","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Thu Sep 07 19:14:41 GMT 2023","Thu Sep 07 19:14:41 GMT 2023","137","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Thu Sep 07 19:14:22 GMT 2023","Thu Sep 07 19:14:22 GMT 2023","274","","Cypress.config()","","","","Get and set configuration options",""
"passed","Thu Sep 07 19:13:36 GMT 2023","Thu Sep 07 19:13:37 GMT 2023","1044","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Thu Sep 07 19:13:38 GMT 2023","Thu Sep 07 19:13:38 GMT 2023","221","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Thu Sep 07 19:13:34 GMT 2023","Thu Sep 07 19:13:35 GMT 2023","1066","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Thu Sep 07 19:14:14 GMT 2023","Thu Sep 07 19:14:14 GMT 2023","183","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Thu Sep 07 19:13:33 GMT 2023","Thu Sep 07 19:13:34 GMT 2023","333","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Thu Sep 07 19:14:41 GMT 2023","Thu Sep 07 19:14:41 GMT 2023","366","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Thu Sep 07 19:13:49 GMT 2023","Thu Sep 07 19:13:50 GMT 2023","715","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Thu Sep 07 19:14:06 GMT 2023","Thu Sep 07 19:14:06 GMT 2023","144","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Thu Sep 07 19:14:22 GMT 2023","Thu Sep 07 19:14:22 GMT 2023","232","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Thu Sep 07 19:14:14 GMT 2023","Thu Sep 07 19:14:14 GMT 2023","289","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Thu Sep 07 19:14:40 GMT 2023","Thu Sep 07 19:14:40 GMT 2023","522","","Misc","","","",".end() - end the command chain",""
"passed","Thu Sep 07 19:13:56 GMT 2023","Thu Sep 07 19:13:57 GMT 2023","174","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Thu Sep 07 19:14:43 GMT 2023","Thu Sep 07 19:14:43 GMT 2023","132","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Thu Sep 07 19:14:34 GMT 2023","Thu Sep 07 19:14:34 GMT 2023","124","","Location","","","","cy.url() - get the current URL",""
"passed","Thu Sep 07 19:13:57 GMT 2023","Thu Sep 07 19:13:59 GMT 2023","1635","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Thu Sep 07 19:14:21 GMT 2023","Thu Sep 07 19:14:21 GMT 2023","307","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Thu Sep 07 19:14:07 GMT 2023","Thu Sep 07 19:14:07 GMT 2023","164","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Thu Sep 07 19:14:07 GMT 2023","Thu Sep 07 19:14:07 GMT 2023","177","Connectors",".then()","","","","yields the original subject without return",""
"passed","Thu Sep 07 19:14:06 GMT 2023","Thu Sep 07 19:14:06 GMT 2023","161","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Thu Sep 07 19:13:34 GMT 2023","Thu Sep 07 19:13:34 GMT 2023","279","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Thu Sep 07 19:14:14 GMT 2023","Thu Sep 07 19:14:15 GMT 2023","255","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Thu Sep 07 19:13:48 GMT 2023","Thu Sep 07 19:13:49 GMT 2023","508","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Thu Sep 07 19:13:57 GMT 2023","Thu Sep 07 19:13:57 GMT 2023","160","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Thu Sep 07 19:13:57 GMT 2023","Thu Sep 07 19:13:57 GMT 2023","171","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Thu Sep 07 19:14:23 GMT 2023","Thu Sep 07 19:14:23 GMT 2023","198","","Cypress.spec","","","","Get current spec information",""
"passed","Thu Sep 07 19:13:25 GMT 2023","Thu Sep 07 19:13:29 GMT 2023","3972","","Actions","","","",".type() - type into a DOM element2",""
"passed","Thu Sep 07 19:14:05 GMT 2023","Thu Sep 07 19:14:06 GMT 2023","487","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Thu Sep 07 19:13:56 GMT 2023","Thu Sep 07 19:13:56 GMT 2023","176","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Thu Sep 07 19:13:31 GMT 2023","Thu Sep 07 19:13:33 GMT 2023","2708","","Actions","","","",".click() - click on a DOM element",""
"passed","Thu Sep 07 19:13:30 GMT 2023","Thu Sep 07 19:13:30 GMT 2023","634","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Thu Sep 07 19:13:29 GMT 2023","Thu Sep 07 19:13:30 GMT 2023","528","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Thu Sep 07 19:13:35 GMT 2023","Thu Sep 07 19:13:36 GMT 2023","1070","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Thu Sep 07 19:14:23 GMT 2023","Thu Sep 07 19:14:23 GMT 2023","204","","Cypress.platform","","","","Get underlying OS name",""
"passed","Thu Sep 07 19:13:29 GMT 2023","Thu Sep 07 19:13:29 GMT 2023","201","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Thu Sep 07 19:14:14 GMT 2023","Thu Sep 07 19:14:14 GMT 2023","277","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Thu Sep 07 19:14:07 GMT 2023","Thu Sep 07 19:14:07 GMT 2023","154","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Thu Sep 07 19:13:57 GMT 2023","Thu Sep 07 19:13:57 GMT 2023","173","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Thu Sep 07 19:14:22 GMT 2023","Thu Sep 07 19:14:23 GMT 2023","188","","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Thu Sep 07 19:14:23 GMT 2023","Thu Sep 07 19:14:23 GMT 2023","197","","Cypress.version","","","","Get current version of Cypress being run",""
